fecha,anio,mes,concepto_descripcion,concepto_codigo,nivel_jerarquia,valor_millones_pesos,fuente_archivo
2019-02-01,2019,2,Otras funciones,Otras funciones,2,275.9,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otras transferencias,Otras transferencias,2,4610.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otros,Otros,1,5003.1177249,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otros Gastos Corrientes,Otros_gastos_corrientes,1,1742.0,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otros ingresos corrientes,Otros_ingresos_corrientes,1,11128.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Otras Programos Sociales,Otros_prog_sociales,2,7795.6,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Prestaciones sociales,Prestaciones_sociales,1,149049.1,2020.02-aif-imig.xlsx
2019-02-01,2019,2,RESULTADO FINANCIERO,RESULTADO_FINANCIERO,0,-4905.900000000005,2020.02-aif-imig.xlsx
2019-02-01,2019,2,RESULTADO PRIMARIO,RESULTADO_PRIMARIO,0,6726.399999999994,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Rentas de la propiedad (1),Rentas_propiedad,1,22188.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Resto rentas de la propiedad,Rentas_propiedad,2,10209.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Resto ingresos corrientes,Resto ingresos corrientes,2,1641.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Salarios,Salarios,2,35672.0,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Salud,Salud,2,1053.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Seguridad Social,Seguridad Social,2,1886.6,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Subsidios económicos,Subsidios_economicos,1,17692.4,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Energía,Subsidios_energia,2,10081.3,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Energía,Subsidios_energia,1,2486.6,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transporte,Subsidios_transporte,2,7335.2,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transporte,Subsidios_transporte,1,3800.7,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transferencias corrientes a provincias,Transf_corrientes_provincias,1,9743.8,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transferencias a universidades,Transf_universidades,1,9376.199999999999,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transferencias a provincias,Transferencias a provincias,2,583.3,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Transferencias corrientes,Transferencias corrientes,2,296.5,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Tributarios,Tributarios,1,222647.6,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Resto tributarios,Tributarios,2,14710.699999999999,2020.02-aif-imig.xlsx
2019-02-01,2019,2,Vivienda,Vivienda,1,1651.6452797,2020.02-aif-imig.xlsx
2019-03-01,2019,3,Agua potable y alcantarillado,Agua potable y alcantarillado,1,2042.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Aportes y contribuciones a la seguriad social,Aportes_contrib_seg_social,2,87168.6,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,"Asignaciones Familiares Activos, Pasivos y otras",Asignaciones_familiares,2,15008.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Asignación Universal para Protección Social,Asignación Universal para Protección Social,2,13695.2,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Bienes personales,Bienes_personales,2,283.5,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Débitos y créditos,Debitos_creditos,2,25198.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Derechos de exportación,Derechos_exportacion,2,17756.5,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Derechos de importación,Derechos_importacion,2,8972.1,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Educación,Educación,2,2031.1,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Educación,Educación,1,699.3999999999999,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,GASTOS PRIMARIOS,GASTOS_PRIMARIOS,0,274320.5,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Ganancias,Ganancias,2,18783.9,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Gastos de capital,Gastos_capital,1,17051.2,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Gastos corrientes primarios,Gastos_corrientes_primarios,1,257269.3,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Gastos de funcionamiento y otros,Gastos_funcionamiento,1,47210.1,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otros gastos de funcionamiento,Gastos_funcionamiento,2,10665.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,INGRESOS TOTALES,INGRESOS_TOTALES,0,261283.49999999997,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Prestaciones del INSSJP,INSSJP_PAMI,2,11329.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,IVA neto de reintegros,IVA_neto_reintegros,2,48942.100000000006,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Impuestos internos,Impuestos_internos,2,3372.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Ingresos de capital,Ingresos_capital,1,249.5,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Intereses Netos (2),Intereses_netos,1,36801.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Nación,Nación,2,1241.2,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otras funciones,Otras funciones,2,140.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otras transferencias,Otras transferencias,2,410.1,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otros,Otros,1,3148.5999999999995,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otros Gastos Corrientes,Otros_gastos_corrientes,1,2887.7000000000007,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otros ingresos corrientes,Otros_ingresos_corrientes,1,11133.1,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Otras Programos Sociales,Otros_prog_sociales,2,8685.3,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Prestaciones sociales,Prestaciones_sociales,1,174210.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,RESULTADO FINANCIERO,RESULTADO_FINANCIERO,0,-49838.40000000003,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,RESULTADO PRIMARIO,RESULTADO_PRIMARIO,0,-13037.00000000003,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Rentas de la propiedad (1),Rentas_propiedad,1,24731.8,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Resto rentas de la propiedad,Rentas_propiedad,2,18969.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Resto ingresos corrientes,Resto ingresos corrientes,2,1377.5,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Salarios,Salarios,2,36544.7,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Salud,Salud,2,668.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Seguridad Social,Seguridad Social,2,1982.8,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Subsidios económicos,Subsidios_economicos,1,17970.0,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Energía,Subsidios_energia,2,10279.3,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Energía,Subsidios_energia,1,2164.6000000000004,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transporte,Subsidios_transporte,2,7550.699999999999,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transporte,Subsidios_transporte,1,7241.6,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transferencias corrientes a provincias,Transf_corrientes_provincias,1,5092.399999999999,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transferencias a universidades,Transf_universidades,1,9899.099999999999,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transferencias a provincias,Transferencias a provincias,2,923.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Transferencias corrientes,Transferencias corrientes,2,248.89999999999998,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Tributarios,Tributarios,1,225169.09999999998,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Resto tributarios,Tributarios,2,14692.4,aif-20200420-imig_marzo.xls
2019-03-01,2019,3,Vivienda,Vivienda,1,1755.0000000000002,aif-20200420-imig_marzo.xls
2019-04-01,2019,4,Agua potable y alcantarillado,Agua potable y alcantarillado,1,1519.4,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Aportes y contribuciones a la seguriad social,Aportes_contrib_seg_social,2,100634.1,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,"Asignaciones Familiares Activos, Pasivos y otras",Asignaciones_familiares,2,10127.6,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Asignación Universal para Protección Social,Asignación Universal para Protección Social,2,9433.6,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Bienes personales,Bienes_personales,2,450.0,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Débitos y créditos,Debitos_creditos,2,23233.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Derechos de exportación,Derechos_exportacion,2,21965.100000000002,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Derechos de importación,Derechos_importacion,2,7931.6,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Educación,Educación,2,2308.7999999999997,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Educación,Educación,1,1499.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,GASTOS PRIMARIOS,GASTOS_PRIMARIOS,0,276928.60000000003,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Ganancias,Ganancias,2,23869.600000000002,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Gastos de capital,Gastos_capital,1,16259.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Gastos corrientes primarios,Gastos_corrientes_primarios,1,260669.10000000003,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Gastos de funcionamiento y otros,Gastos_funcionamiento,1,51148.6,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otros gastos de funcionamiento,Gastos_funcionamiento,2,14515.9,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,INGRESOS TOTALES,INGRESOS_TOTALES,0,277427.10000000003,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Prestaciones del INSSJP,INSSJP_PAMI,2,11804.1,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,IVA neto de reintegros,IVA_neto_reintegros,2,46906.2,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Impuestos internos,Impuestos_internos,2,3501.7,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Ingresos de capital,Ingresos_capital,1,624.2,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Intereses Netos (2),Intereses_netos,1,66571.40000000001,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Nación,Nación,2,1572.0,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otras funciones,Otras funciones,2,49.9,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otras transferencias,Otras transferencias,2,71.30000000000007,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otros,Otros,1,1799.8000000000002,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otros Gastos Corrientes,Otros_gastos_corrientes,1,4742.199999999999,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otros ingresos corrientes,Otros_ingresos_corrientes,1,12461.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Otras Programos Sociales,Otros_prog_sociales,2,6860.799999999999,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Prestaciones sociales,Prestaciones_sociales,1,167393.2,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,RESULTADO FINANCIERO,RESULTADO_FINANCIERO,0,-66072.90000000001,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,RESULTADO PRIMARIO,RESULTADO_PRIMARIO,0,498.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Rentas de la propiedad (1),Rentas_propiedad,1,18377.6,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Resto rentas de la propiedad,Rentas_propiedad,2,6263.299999999999,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Resto ingresos corrientes,Resto ingresos corrientes,2,1724.2,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Salarios,Salarios,2,36632.7,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Salud,Salud,2,488.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Seguridad Social,Seguridad Social,2,1918.7,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Subsidios económicos,Subsidios_economicos,1,22432.600000000002,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Energía,Subsidios_energia,2,14325.600000000002,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Energía,Subsidios_energia,1,2295.0,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Transporte,Subsidios_transporte,2,8057.1,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Transporte,Subsidios_transporte,1,7421.5,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Transferencias corrientes a provincias,Transf_corrientes_provincias,1,4787.3,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Transferencias a universidades,Transf_universidades,1,10165.2,resultado-fiscal-abril-2020.xls
2019-04-01,2019,4,Transferencias a provincias,Transferencias a provincias,2,723.0,resultado-fiscal-abril-2020.xls
